City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Puerto Quijarro,BO,-17.7833,-57.7667,76.28,76,100,4.0,light rain
323,Yumen,CN,40.2833,97.2,37.38,49,7,7.9,clear sky
324,Saint Andrews,US,34.0454,-81.1293,64.62,67,75,1.01,broken clouds
325,Novosheshminsk,RU,55.0651,51.2338,33.67,52,100,11.81,light snow
326,Roma,US,43.2128,-75.4557,54.03,57,1,14.97,clear sky
327,Chiredzi,ZW,-21.05,31.6667,70.88,44,4,6.22,clear sky
328,Talnakh,RU,69.4865,88.3972,16.81,95,100,8.77,light snow
329,Yerbogachen,RU,61.2767,108.0108,21.45,94,100,8.5,light snow
330,Athens,GR,37.9795,23.7162,59.92,67,3,1.01,clear sky
331,Oussouye,SN,12.485,-16.5469,80.78,78,100,3.51,overcast clouds
332,Tilichiki,RU,60.4667,166.1,27.32,89,100,10.76,overcast clouds
333,Korla,CN,41.7597,86.1469,49.68,39,99,5.32,overcast clouds
334,Mount Isa,AU,-20.7333,139.5,74.97,31,100,11.5,light rain
335,Januaria,BR,-15.4833,-44.3667,80.49,39,29,4.14,scattered clouds
336,Mayaky,UA,47.4408,29.5599,46.24,76,0,5.68,clear sky
337,Ayni,TJ,39.3941,68.5377,42.28,35,0,6.22,clear sky
338,Piacabucu,BR,-10.4056,-36.4344,75.13,73,51,6.04,broken clouds
339,Arrecife,ES,28.963,-13.5477,69.87,68,20,5.75,few clouds
340,Saint-Francois,FR,46.4154,3.9054,60.67,61,0,10.36,clear sky
341,Escanaba,US,45.7453,-87.0646,55.71,71,90,5.75,overcast clouds
342,Wates,ID,-8.1326,111.9541,75.74,93,100,3.94,overcast clouds
343,Kavaratti,IN,10.5669,72.642,81.88,70,96,2.42,overcast clouds
